temperature,city,pression,date
292.15,Paris,1013,2024-09-22 11:03
291.71,London,1012,2024-09-22 11:03
283.56,Washington,1018,2024-09-22 11:03
292.15,Paris,1013,2024-09-22 11:02
291.71,London,1012,2024-09-22 11:02
283.56,Washington,1018,2024-09-22 11:02
292.15,Paris,1013,2024-09-22 11:01
291.71,London,1012,2024-09-22 11:01
283.56,Washington,1018,2024-09-22 11:01
292.15,Paris,1013,2024-09-22 11:00
291.71,London,1012,2024-09-22 11:00
283.56,Washington,1018,2024-09-22 11:00
292.15,Paris,1013,2024-09-22 10:58
291.57,London,1012,2024-09-22 10:58
284.18,Washington,1018,2024-09-22 10:58
292.15,Paris,1013,2024-09-22 10:57
291.57,London,1012,2024-09-22 10:57
284.18,Washington,1018,2024-09-22 10:57
290.63,Paris,1014,2024-09-22 02:13
289.68,London,1015,2024-09-22 02:13
290.6,Washington,1017,2024-09-22 02:13
290.63,Paris,1014,2024-09-22 02:12
289.72,London,1015,2024-09-22 02:12
290.6,Washington,1017,2024-09-22 02:12
290.68,Paris,1014,2024-09-22 01:42
289.74,London,1015,2024-09-22 01:42
291.8,Washington,1017,2024-09-22 01:42
290.68,Paris,1014,2024-09-22 01:38
289.74,London,1015,2024-09-22 01:38
291.99,Washington,1017,2024-09-22 01:38
290.68,Paris,1014,2024-09-22 01:37
289.74,London,1015,2024-09-22 01:37
291.99,Washington,1017,2024-09-22 01:37
290.68,Paris,1014,2024-09-22 01:32
289.73,London,1015,2024-09-22 01:32
293.54,Washington,1017,2024-09-22 01:32
290.68,Paris,1014,2024-09-22 01:28
289.78,London,1015,2024-09-22 01:28
293.54,Washington,1017,2024-09-22 01:28
290.68,Paris,1014,2024-09-22 01:27
289.78,London,1015,2024-09-22 01:27
293.61,Washington,1017,2024-09-22 01:27
290.68,Paris,1014,2024-09-22 01:25
289.78,London,1015,2024-09-22 01:25
293.61,Washington,1017,2024-09-22 01:25
290.68,Paris,1014,2024-09-22 01:24
289.78,London,1015,2024-09-22 01:24
293.61,Washington,1017,2024-09-22 01:24
290.68,Paris,1014,2024-09-22 01:22
289.78,London,1015,2024-09-22 01:22
293.61,Washington,1017,2024-09-22 01:22
290.68,Paris,1014,2024-09-22 01:20
289.78,London,1015,2024-09-22 01:20
293.61,Washington,1017,2024-09-22 01:20
290.68,Paris,1014,2024-09-22 01:19
289.79,London,1015,2024-09-22 01:19
293.95,Washington,1017,2024-09-22 01:19
290.68,Paris,1014,2024-09-22 01:18
289.79,London,1015,2024-09-22 01:18
293.95,Washington,1017,2024-09-22 01:18
290.68,Paris,1014,2024-09-22 01:17
289.79,London,1015,2024-09-22 01:17
293.95,Washington,1017,2024-09-22 01:17
290.68,Paris,1014,2024-09-22 01:15
289.79,London,1015,2024-09-22 01:15
293.95,Washington,1017,2024-09-22 01:15
290.68,Paris,1014,2024-09-22 01:11
289.88,London,1015,2024-09-22 01:11
293.95,Washington,1017,2024-09-22 01:11
290.83,Paris,1014,2024-09-22 01:07
289.88,London,1015,2024-09-22 01:07
294.8,Washington,1017,2024-09-22 01:07
290.83,Paris,1014,2024-09-22 00:54
289.99,London,1015,2024-09-22 00:54
294.85,Washington,1017,2024-09-22 00:54
290.77,Paris,1014,2024-09-22 00:52
289.99,London,1015,2024-09-22 00:52
295.07,Washington,1017,2024-09-22 00:52
290.94,Paris,1014,2024-09-22 00:49
290.0,London,1015,2024-09-22 00:49
294.79,Washington,1017,2024-09-22 00:49
290.77,Paris,1014,2024-09-22 00:48
290.04,London,1015,2024-09-22 00:48
294.72,Washington,1017,2024-09-22 00:48
290.77,Paris,1014,2024-09-22 00:45
290.04,London,1015,2024-09-22 00:45
295.07,Washington,1017,2024-09-22 00:45
290.77,Paris,1014,2024-09-22 00:44
290.04,London,1015,2024-09-22 00:44
295.07,Washington,1017,2024-09-22 00:44
291.03,Paris,1014,2024-09-22 00:41
290.12,London,1015,2024-09-22 00:41
295.07,Washington,1017,2024-09-22 00:41
291.04,Paris,1014,2024-09-22 00:34
290.09,London,1015,2024-09-22 00:34
295.24,Washington,1017,2024-09-22 00:34
291.19,Paris,1014,2024-09-22 00:25
290.28,London,1015,2024-09-22 00:25
295.41,Washington,1017,2024-09-22 00:25
291.19,Paris,1014,2024-09-22 00:21
290.28,London,1015,2024-09-22 00:21
295.41,Washington,1017,2024-09-22 00:21
291.44,Paris,1014,2024-09-22 00:16
290.3,London,1015,2024-09-22 00:16
